Wavelength	blue	green	red	NIR	pan
561	0.00752552389489957	0.950550680511182	0	0	0.740825971201589
562	0.0041725826625387	0.94827828708134	0	0	0.742996842105263
563	0	0.948320380191693	0	0	0.745154736842105
564	0	0.95177250877193	0	0	0.747238808341609
565	0	0.956741204472844	0	0	0.749308818272095
566	0	0.961869220447284	0	0	0.751206163853029
567	0	0.967003129186603	0	0	0.753067137040715
568	0	0.972190204472843	0	0	0.754700314796425
569	0	0.977476325358852	0	0	0.756280751737835
570	0	0.982826309904153	0	0	0.757695566037736
571	0	0.988181234449761	0	0	0.759068455809335
572	0	0.993526362041467	0	0	0.760366604766634
573	0	0.998272111821086	0	0	0.761644161866931
574	0	0.99959423923445	0	0	0.762842960278054
575	0	0.995892146964856	0	0	0.764018233366435
576	0	0.989745963317385	0	0	0.765012952333664
577	0	0.981720521531101	0	0	0.765949397219464
578	0	0.967157039936103	0	0	0.766640105263158
579	0	0.946776322169059	0	0	0.767245368421053
580	0	0.924627330670928	0	0	0.767665197616683
581	0	0.902393202551835	0	0	0.768015743793446
582	0	0.879801425837321	0	0	0.768299903722084
583	0	0.855503333333334	0	0	0.768557471960298
584	0	0.82931352631579	0	0	0.768879684707051
585	0	0.802425642172526	0	0	0.769229734359484
586	0	0.775505545454546	0	0	0.769864123634558
587	0	0.748283655502394	0	0	0.770629267626614
588	0	0.718223918660287	0	0	0.771909155908639
589	0	0.682996666666669	0	0	0.773441429990069
590	0	0.644616483253588	0	0	0.775477708540218
591	0	0.605554803827753	0	0	0.777777112711023
592	0	0.565743454545454	0	0	0.780346295928501
593	0	0.52493437001595	0	0	0.783065263157895
594	0	0.483015071770335	0	0	0.785856062562066
595	0	0.435977636363637	0	0	0.788689230387289
596	0	0.379769277511962	0	0	0.791545911122145
597	0	0.321711382775121	0	0	0.794417311320755
598	0	0.271756617224881	0	0	0.797351079443893
599	0	0.227090564593302	0	0	0.800326253227408
600	0	0.183745175438598	0	0	0.803411015888779
601	0	0.141752564593301	0	0	0.806572882820258
602	0	0.106297553429028	0	0	0.809840871400199
603	0	0.0826920961722485	0	0	0.813187941906653
604	0	0.0649948073365225	0	0	0.816589968718967
605	0	0.0534152066985643	0	0	0.820035351042701
606	0	0.0467736043062199	0.00505942358778612	0	0.823482357000993
607	0	0.0414269421052629	0.00930802074695136	0	0.826930718470705
608	0	0.0361373736842104	0.0135607433587785	0	0.83030182919563
609	0	0.0308769416932905	0.0178134475609756	0	0.833604709036743
610	0	0.0259800912280701	0.0221061912977099	0	0.836703509930487
611	0	0.0222614	0.0268930181679389	0	0.839611652929494
612	0	0.0195790711323764	0.0334164118902438	0	0.842239986104218
613	0	0.017175211323764	0.0415773421374045	0	0.844591847146402
614	0	0.0147828571884984	0.0529998100609752	0	0.846732019860973
