Wavelength	CoastalAerosol	Blue	Green	Red	NIR	Cirrus	SWIR1	SWIR2	Pan
785	0	0	0	0	0	0	0	0	0
786	0	0	0	0	0	0	0	0	0
787	0	0	0	0	0	0	0	0	0
788	0	0	0	0	0	0	0	0	0
789	0	0	0	0	0	0	0	0	0
790	0	0	0	0	0	0	0	0	0
791	0	0	0	0	0	0	0	0	0
792	0	0	0	0	0	0	0	0	0
793	0	0	0	0	0	0	0	0	0
794	0	0	0	0	0	0	0	0	0
795	0	0	0	0	0	0	0	0	0
796	0	0	0	0	0	0	0	0	0
797	0	0	0	0	0	0	0	0	0
798	0	0	0	0	0	0	0	0	0
799	0	0	0	0	0	0	0	0	0
800	0	0	0	0	0	0	0	0	0
801	0	0	0	0	0	0	0	0	0
802	0	0	0	0	0	0	0	0	0
803	0	0	0	0	0	0	0	0	0
804	0	0	0	0	0	0	0	0	0
805	0	0	0	0	0	0	0	0	0
806	0	0	0	0	0	0	0	0	0
807	0	0	0	0	0	0	0	0	0
808	0	0	0	0	0	0	0	0	0
809	0	0	0	0	0	0	0	0	0
810	0	0	0	0	0	0	0	0	0
811	0	0	0	0	0	0	0	0	0
812	0	0	0	0	0	0	0	0	0
813	0	0	0	0	0	0	0	0	0
814	0	0	0	0	0	0	0	0	0
815	0	0	0	0	0	0	0	0	0
816	0	0	0	0	0	0	0	0	0
817	0	0	0	0	0	0	0	0	0
818	0	0	0	0	0	0	0	0	0
819	0	0	0	0	0	0	0	0	0
820	0	0	0	0	0	0	0	0	0
821	0	0	0	0	0	0	0	0	0
822	0	0	0	0	0	0	0	0	0
823	0	0	0	0	0	0	0	0	0
824	0	0	0	0	0	0	0	0	0
825	0	0	0	0	0	0	0	0	0
826	0	0	0	0	0	0	0	0	0
827	0	0	0	0	0	0	0	0	0
828	0	0	0	0	0	0	0	0	0
829	0	0	0	0	0.00045004	0.00045004	0.00045004	0.00045004	0
830	0	0	0	0	0.00047554	0.00047554	0.00047554	0.00047554	0
831	0	0	0	0	0.0005924	0.0005924	0.0005924	0.0005924	0
832	0	0	0	0	0.00071486	0.00071486	0.00071486	0.00071486	0
833	0	0	0	0	0.00083731	0.00083731	0.00083731	0.00083731	0
834	0	0	0	0	0.00095976	0.00095976	0.00095976	0.00095976	0
835	0	0	0	0	0.00108221	0.00108221	0.00108221	0.00108221	0
836	0	0	0	0	0.00124527	0.00124527	0.00124527	0.00124527	0
837	0	0	0	0	0.00159663	0.00159663	0.00159663	0.00159663	0
838	0	0	0	0	0.00209522	0.00209522	0.00209522	0.00209522	0
839	0	0	0	0	0.00282196	0.00282196	0.00282196	0.00282196	0
840	0	0	0	0	0.00389035	0.00389035	0.00389035	0.00389035	0
841	0	0	0	0	0.00557772	0.00557772	0.00557772	0.00557772	0
842	0	0	0	0	0.00840453	0.00840453	0.00840453	0.00840453	0
843	0	0	0	0	0.0121997	0.0121997	0.0121997	0.0121997	0
844	0	0	0	0	0.01910023	0.01910023	0.01910023	0.01910023	0
845	0	0	0	0	0.03112408	0.03112408	0.03112408	0.03112408	0
846	0	0	0	0	0.0518628	0.0518628	0.0518628	0.0518628	0
847	0	0	0	0	0.09260266	0.09260266	0.09260266	0.09260266	0
848	0	0	0	0	0.1572693	0.1572693	0.1572693	0.1572693	0
849	0	0	0	0	0.27197644	0.27197644	0.27197644	0.27197644	0
850	0	0	0	0	0.44460031	0.44460031	0.44460031	0.44460031	0
851	0	0	0	0	0.64932525	0.64932525	0.64932525	0.64932525	0
852	0	0	0	0	0.83474088	0.83474088	0.83474088	0.83474088	0
853	0	0	0	0	0.94093359	0.94093359	0.94093359	0.94093359	0
854	0	0	0	0	0.98152208	0.98152208	0.98152208	0.98152208	0
855	0	0	0	0	0.99064982	0.99064982	0.99064982	0.99064982	0
856	0	0	0	0	0.98923784	0.98923784	0.98923784	0.98923784	0
